name,Sequence types
Bacillus subtilis,269
Vibrio cholerae,1991
Helicobacter pylori,4962
Campylobacter spp,14875
Moraxella catarrhalis,934
Neisseria spp,19195
Morganella morganii,141
Haemophilus influenzae,3134
Streptococcus pyogenes,1678
Enterococcus faecalis,2120
Salmonella enterica,12873
Streptococcus agalactiae,2410
Enterococcus faecium,3004
Pseudomonas aeruginosa,6368
Acinetobacter baumanii,3594
Streptococcus pneumoniae,20436
Klebsiella pneumoniae,9479
Staphylococcus aureus,10763
Serratia spp,1556
Proteus spp,651
Enterobacter spp,3414
Citrobacter spp,1351
Escherichia coli,17505
